First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration(s)_appointee,Party_affiliation,Employer,FTC_seat,Education,Previous_position,Type_of_prev_position,Following_position,Type_of_following_position,Source,Source2,Source3,Notes
Robert,T.,Secrest,,Commissioner,,1954,1961,,D,FTC,3,Law,"Member of House (OH); previously: legal supervisor of Library of Congress, member of House (OH), local superintendent",Government,"OH Director of Commerce, member of House (OH), member of OH state senate",Government,Wiki,,,
William,C.,Kern,,Commissioner,,1955,1962,,D,FTC,4,Law,Assistant director of FTC's litigation section; previously: staff lawyer at FTC,Government,Likely retired (died soon after),Retired,NYT obit,,,Son of Senate majority leader
Sigurd,,Anderson,,Commissioner,,1955,1964,,R,FTC,1,LLB,"Governor of SD; previously: AG of SD, state attorney in SD, law practice",Government,"Law firm (unclear), SD circuit judge",Law firm,Wiki,South Dakota Uni,,
Victor,R.,Hansen,,AAG antitrust,,1956,1959,Eisenhower,NA,DOJ,NA,Law,Judge on LA Superior Court; previously: private practice,Government,Unclear,Unclear,"See ""Documents"" folder",,,
Edward,T.,Tait,,Commissioner,,1956,1960,,R,FTC,5,Law,"Executive director of SEC; previously: special assistant for Eisenhower, ""lesser federal posts"", private practice",Government,Private business,Industry,NYT obit,NYT1,,
Robert,A. ,Bicks,,AAG antitrust,,1959,1961,Eisenhower,NA,DOJ,NA,Law,Legal assistant to AAG of antitrust; previously unclear,Government,Law firm (Whitman Breed Abbott & Morgan),Law firm,NYT,,,"""widely regarded as the division's principal policy maker"" NYT"
Earl,W.,Kintner,,Chair,,1959,1961,,R,FTC,2,Law,"General Counsel of FTC; previously: trial attorney for FTC, other government positions, ",Government,Partner in law firm (Arent Fox Kintner Plotkin & Kahn),Law firm,Wiki,Indiana law,,Directed law firm's antitrust practice
Edward,K.,Mills,Jr. ,Commissioner,,1960,1961,,R,FTC,5,Law,"Unclear likely private law practice; previously: mayor, organized for Eisenhower",Private practice,Unclear,Unclear,NYT obit,NYT,,
Lee,,Loevinger,,AAG antitrust,,1961,1963,JFK,NA,DOJ,NA,JD,"Judge (MN Supreme Court); previously: trial lawyer for National Labor Relations Board in NY, lawyer at DOJ antitrust",Government,member of FCC,Government,link,,,
Philip,,Elman,,Commissioner,,1961,1970,,Independent,FTC,5,Law,"Assistant to US Solicitor General; previously: DOJ staff lawyer, SCOTUS and federal judge clerk, FCC staff lawyer",Government,"Law firm (Wald Harkrader & Ross), taught law (Georgetown)",Law firm,Wiki,NYT obit,Book (pg 391),
Everette,,McIntyre,,Acting chair/commissioner,,1961,1973,,D,FTC,3,JD,"General counsel for House committee on small business; previously: staff director of House committee, ran House investigation of monopolistic procedures, chief of FTC antitrust trials division, FTC trial lawyer",Government,Law firm (McKean and McIntyre and others),Law firm,Wiki,NYT obit,,
Paul,R.,Dixon,,Chair/commissioner/acting chair,,1961,1981,,D,FTC,2,JD,counsel and staff director for the Senate Antitrust and Monopoly Subcommittee; previously: FTC staff,Government,"Unclear, died soon after",Died,Wiki,,,
A.,Leon,Higginbotham,,Commissioner,,1962,1964,,D,FTC,4,Law,Law practice; previously: assistant district attorney for Philadelphia,Private practice,"Federal judge (PA district court), LBJ advisor, US Court of Appeals judge, adjunct professor, law firm (Paul Weiss)",Government,Wiki,NYT obit,NYT (offensive name in headline),Very young when appointed
William,Horsley,Orrick,Jr.,AAG antitrust,,1963,1965,JFK,NA,DOJ,NA,LLB,"Deputy Undersecretary of State for Administration at State Dept; previously: AAG of civil division of DOJ, law firm",Government,"Law firm (unclear), federal judge (N CA District Court)",Law firm,Wiki,,,
John,R.,Reilly,,Commissioner,,1964,1967,,D,FTC,4,Law,"Aide to AG Kennedy; previously: Kennedy campaign, trial lawyer for DOJ antitrust",Government,"Law firm (Pierson, Ball & Dowd, Winston & Strawn), other Democratic campaigns",Law firm,Wiki,NYT obit,,Close ally of Kennedys
Mary,Gardiner,Jones,,Commissioner,,1964,1973,,R,FTC,1,Law,"Lawyer in DOJ antitrust division; previously: law firm (Donovan, Leisure, Newton & Irvine), analyst Office of Strategic Services",Government,"VP at Western Union Telegraph Company, Law lecturer (University of Illinois), founder/president of Consumer Interest Research Institute",Industry,NYT obit,Wiki,,Shifted political affiliation over life from Republican to Democrat
Donald,F.,Turner,,AAG antitrust,,1965,1968,LBJ,NA,DOJ,NA,"JD, PhD",Professor (Harvard Law),Academia,Professor (Harvard Law),Academia,link,,,
James,M.,Nicholson,,Commissioner,,1967,1969,,D,FTC,4,LLB,Law firm (Cadick Burns Duck & Neighbors); previously: unsuccessful candidate for House of Representatives,Law firm,Unclear,Unclear,NYT,Commerce committee nomination docs,,
Edwin,,Zimmerman,,AAG antitrust,,1968,1969,LBJ,NA,DOJ,NA,Law,"Deputy AAG in antitrust; previously: private practice, lecturer at Stanford Law, SCOTUS law clerk",Government,Law firm (Covington and Burling),Law firm,WaPo,,,
Richard,W.,McLaren,,AAG antitrust,,1969,1972,Nixon,NA,DOJ,NA,LLB,"Law firm (unclear, Chicago area); previously: private practice in NY, Army Air Corps",Law firm,"Federal judge (US District Court, IL)",Government,link,,,
Caspar,W.,Weinberger,,Chair/commissioner,,1969,1970,,R,FTC,4,LLB,"CA state director of finance; previously: chairman of Commission on California State Government Organization and Economy, chairman of CA Republican Party, CA Assemblyman, law firm (unknown), law clerk for federal judge",Government,"Deputy director of OMB, director of OMB, Secretary of HHS, VP and General Counsel of Bechtel Corp, Secretary of Defense, publisher of Forbes",Government,Wiki,,,
David,Short,Dennison,Jr. ,Commissioner,,1970,1973,,R,FTC,5,Law,"Consultant for 1959 Civil Rights Commission; previously: unsuccessfully ran for House (after), member of House (OH), special assistant to OH state AG, private practice",Government,Business executive,Industry,Wiki,Congress bio,,
Miles,W.,Kirkpatrick,,Chair,,1970,1973,,R,FTC,4,Law,"Law firm as antitrust specialist (Morgan, Lewis & Brockius), led ABA investigation of FTC",Law firm,"Law firm (unclear likely Morgan, Lewis & Brockius)",Law firm,Wiki,NYT obit,NYT1,"NYT obit: ""[Kirkpatrick] commission that examined the F.T.C. ... concluded that too many high-level employees were incompetent or were do-nothings, and that the commission wasted time pursuing ''trivial matters.''""; Nixon not sad to see him go"
Thomas,E.,Kauper,,AAG antitrust,,1972,1976,Nixon,NA,DOJ,NA,JD,"Deputy AAG in Office of Legal Counsel; previously: professor (University of Michigan Law), private practice, SCOTUS clerk",Government,Professor (University of Michigan Law),Academia,Wiki,,,
Walker,B.,Comegys,,AAG antitrust,,1972,1972,acting,NA,DOJ,NA,LLB,"Deputy AAG of antitrust; previously: law firm partner (Goodwin, Procter & Hoar)",Government,"Law firm (Mintz, Levin, Cohn & Glovsky)",Law firm,NYT,Prabook,,Find better sourcing
Lewis,A. ,Engman,,Chair,,1973,1975,,R,FTC,4,Law,"Assistant director of WH domestic policy council; previously: legislative counsel and general counsel to the President's special assistant for consumer affairs, law practice (Michigan)",Government,"Pharmaceutical industry spokesman, law firm (Winston & Strawn)",Industry,Wiki,NYT obit,,
Mayo,J.,Thompson,,Commissioner,,1973,1975,,D,FTC,3,"BS, LLB",Unclear (probably law firm),,Unclear (probably law firm),Unclear,Prabook,,,
Elizabeth,Hanford,Dole,,Commissioner,,1973,1979,,Independent,FTC,1,JD,Head of White House Office of Consumer Affairs under Nixon; previously: worked for LBJ's President’s Committee for Consumer Interests and HHS dept,Government,"Assistant for public liaison for Reagan, Secretary of Transportation, Secretary of Labor, NC senator",Government,UVA website,House bios,,Appointed prior to marriage to Sen Bob Dole
Stephen,A. ,Nye,,Commissioner,,1974,1976,,R,FTC,5,JD,"Law firm partner and antitrust litigator (Sullivan, Jones and Archer); previously: general counsel of Competitive Capital Fund, law firm (Pillsbury)",Law firm,"Law firm (Howrey and Simon), died",Law firm,WaPo obit,,,
Donald,I.,Baker,,AAG antitrust,,1976,1977,Ford,NA,DOJ,NA,Law,"Professor (Cornell Law); previously: deputy AAG of antitrust, staff lawyer in antitrust at DOJ",Academia,Law firm,Law firm,NYT,American Antitrust Institute (see full remarks),,
