usCite,caseName,dateDecision,majOpinWriter,majVotes,minVotes,vote_JHarlan2,vote_HLBlack,vote_WODouglas,vote_PStewart,vote_TMarshall,vote_WJBrennan,vote_BRWhite,vote_WEBurger,vote_HABlackmun,vote_LFPowell,vote_WHRehnquist,vote_JPStevens,vote_SDOConnor,vote_AScalia,vote_AMKennedy,vote_DHSouter,vote_CThomas,vote_RBGinsburg,vote_SGBreyer,vote_JGRoberts,vote_SAAlito,vote_SSotomayor,vote_EKagan
422 U.S. 659,"GORDON v. NEW YORK STOCK EXCHANGE, INC., et al.",6/26/1975,100,9,0,NA,NA,3,3,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422 U.S. 694,"UNITED STATES v. NATIONAL ASSOCIATION OF SECURITIES DEALERS, INC., et al.",6/26/1975,101,5,4,NA,NA,2,1,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422 U.S. 86,UNITED STATES v. CITIZENS & SOUTHERN NATIONAL BANK et al.,6/17/1975,94,6,3,NA,NA,2,1,1,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428 U.S. 579,"CANTOR, DBA SELDEN DRUGS CO. v. DETROIT EDISON CO.",7/6/1976,103,6,3,NA,NA,NA,2,1,1,1,3,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429 U.S. 477,"BRUNSWICK CORP. v. PUEBLO BOWL-O-MAT, INC., et al.",1/25/1977,98,9,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429 U.S. 610,"UNITED STATES STEEL CORP. et al. v. FORTNER ENTERPRISES, INC.",2/22/1977,103,9,0,NA,NA,NA,1,1,1,1,3,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431 U.S. 720,ILLINOIS BRICK CO. et al. v. ILLINOIS et al.,6/9/1977,95,6,3,NA,NA,NA,1,2,2,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433 U.S. 350,BATES et al. v. STATE BAR OF ARIZONA,6/27/1977,100,5,4,NA,NA,NA,2,1,1,1,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433 U.S. 36,"CONTINENTAL T.V., INC., et al. v. GTE SYLVANIA INC.",6/23/1977,101,6,2,NA,NA,NA,1,2,2,4,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434 U.S. 308,PFIZER INC. et al. v. GOVERNMENT OF INDIA et al.,1/11/1978,94,5,3,NA,NA,NA,1,1,1,1,2,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435 U.S. 389,"CITY OF LAFAYETTE, LOUISIANA, et al. v. LOUISIANA POWER & LIGHT CO.",3/29/1978,92,5,4,NA,NA,NA,2,3,1,2,3,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435 U.S. 679,NATIONAL SOCIETY OF PROFESSIONAL ENGINEERS v. UNITED STATES,4/25/1978,103,8,0,NA,NA,NA,1,1,NA,1,4,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437 U.S. 117,EXXON CORP. et al. v. GOVERNOR OF MARYLAND et al.,6/14/1978,103,7,1,NA,NA,NA,1,1,1,1,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438 U.S. 422,UNITED STATES v. UNITED STATES GYPSUM CO. et al.,6/29/1978,99,7,1,NA,NA,NA,1,1,1,1,1,NA,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438 U.S. 531,ST. PAUL FIRE & MARINE INSURANCE CO. et al. v. BARRY et al.,6/29/1978,101,7,2,NA,NA,NA,2,1,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440 U.S. 205,"GROUP LIFE & HEALTH INSURANCE CO., AKA BLUE SHIELD OF TEXAS, et al. v. ROYAL DRUG CO., INC., DBA ROYAL PHARMACY OF CASTLE HILLS, et al.",2/27/1979,94,5,4,NA,NA,NA,1,2,2,1,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440 U.S. 69,"GREAT ATLANTIC & PACIFIC TEA CO., INC. v. FEDERAL TRADE COMMISSION",2/22/1979,94,7,1,NA,NA,NA,1,2,1,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441 U.S. 1,"BROADCAST MUSIC, INC., et al. v. COLUMBIA BROADCASTING SYSTEM, INC., et al.",4/17/1979,95,8,1,NA,NA,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442 U.S. 330,REITER v. SONOTONE CORP. et al.,6/11/1979,99,8,0,NA,NA,NA,1,1,NA,1,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444 U.S. 232,"MCLAIN et al. v. REAL ESTATE BOARD OF NEW ORLEANS, INC., et al.",1/8/1980,99,8,0,NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445 U.S. 97,"CALIFORNIA RETAIL LIQUOR DEALERS ASSN. v. MIDCAL ALUMINUM, INC., et al.",3/3/1980,101,8,0,NA,NA,NA,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446 U.S. 643,"CATALANO, INC., et al. v. TARGET SALES, INC., et al.",5/27/1980,NA,9,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451 U.S. 557,"J. TRUETT PAYNE CO., INC. v. CHRYSLER MOTORS CORP.",5/18/1981,102,9,0,NA,NA,NA,1,4,4,1,1,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451 U.S. 704,"H. A. ARTISTS & ASSOCIATES, INC., et al. v. ACTORS' EQUITY ASSN. et al.",5/26/1981,94,6,3,NA,NA,NA,1,2,2,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
452 U.S. 378,NATIONAL GERIMEDICAL HOSPITAL AND GERONTOLOGY CENTER v. BLUE CROSS OF KANSAS CITY et al.,6/15/1981,101,9,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455 U.S. 40,"COMMUNITY COMMUNICATIONS CO., INC. v. CITY OF BOULDER, COLORADO, et al.",1/13/1982,92,5,3,NA,NA,NA,NA,1,1,NA,2,1,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456 U.S. 556,"AMERICAN SOCIETY OF MECHANICAL ENGINEERS, INC. v. HYDROLEVEL CORP.",5/17/1982,100,6,3,NA,NA,NA,NA,1,1,2,4,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457 U.S. 332,ARIZONA v. MARICOPA COUNTY MEDICAL SOCIETY et al.,6/18/1982,103,4,3,NA,NA,NA,NA,1,1,1,2,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457 U.S. 465,BLUE SHIELD OF VIRGINIA et al. v. MCCREADY,6/21/1982,92,5,4,NA,NA,NA,NA,1,1,1,2,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458 U.S. 886,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE et al. v. CLAIBORNE HARDWARE CO. et al.,7/2/1982,103,8,0,NA,NA,NA,NA,NA,1,1,1,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459 U.S. 519,"ASSOCIATED GENERAL CONTRACTORS OF CALIFORNIA, INC. v. CALIFORNIA STATE COUNCIL OF CARPENTERS et al.",2/22/1983,103,8,1,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460 U.S. 150,"JEFFERSON COUNTY PHARMACEUTICAL ASSOCIATION, INC. v. ABBOTT LABORATORIES et al.",2/23/1983,101,5,4,NA,NA,NA,NA,1,2,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460 U.S. 428,"FALLS CITY INDUSTRIES, INC. v. VANCO BEVERAGE, INC.",3/22/1983,100,9,0,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462 U.S. 122,BANKAMERICA CORP. et al. v. UNITED STATES,6/8/1983,99,5,3,NA,NA,NA,NA,2,2,2,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465 U.S. 752,MONSANTO CO. v. SPRAY-RITE SERVICE CORP.,3/20/1984,101,8,0,NA,NA,NA,NA,1,3,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466 U.S. 2,JEFFERSON PARISH HOSPITAL DISTRICT NO. 2 et al. v. HYDE,3/27/1984,103,9,0,NA,NA,NA,NA,3,3,1,4,1,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466 U.S. 558,HOOVER et al. v. RONWIN et al.,5/14/1984,101,4,3,NA,NA,NA,NA,1,1,2,1,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467 U.S. 752,COPPERWELD CORP. et al. v. INDEPENDENCE TUBE CORP.,6/19/1984,99,5,3,NA,NA,NA,NA,2,2,NA,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
