First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration_appointee,Party_affiliation,Employer,FTC_seat,Education,Education_law,Education_LLB,Education_JD,Education_econ,Education_Phd,Education_other,Previous_position,Type_of_previous_position ,Generalized_previous_experience,Prev_exp_pol,Prev_exp_civil,Prev_exp_elect,Prev_exp_law_firm,Prev_exp_private_practice,Prev_exp_industry,Prev_exp_academia,Prev_exp_unclear,Following_position,Type_of_following_position,Generalized_following_experience,Follow_exp_pol,Follow_exp_civil,Follow_exp_elect,Follow_exp_law_firm,Follow_exp_private_practice,Follow_exp_academia,Follow_exp_industry,Follow_exp_unclear,Follow_exp_died_or_retired,Following_law_firms,Birth_year,Appointment_age,Appointment_age_rounded,Source,Source2,Source3,Notes
Charles,,James,,AAG antitrust,,2001,2003,GWB,NA,DOJ,NA,JD,1,,1,,,,"Law firm (Jones Day, chaired antitrust division); previously: Acting AAG of antitrust, Deputy AAG of antitrust, Assistant to Director of FTC's Bureau of Competition",Law firm,"Political, law firm",1,,,1,,,,,"VP and General Counsel of Chevron-Texaco, adjunct prof ASU Law",Industry,Industry,,,,,,,1,,,,1954,47,50,Wiki,Justice,,
Mozelle,W.,Thompson,,Commissioner,,1997,2004,,D,FTC,3,"JD, MPP",1,,1,,,1,"Principal Deputy Assistant Secretary at Treasury Dept; previously: various positions in NY state government's AG office, law firm (Skadden, Arps, Slate, Meagher & Flom), law clerk for federal judge",Government,"Political, law firm",1,,,1,,,,,Founder/CEO of Thompson Strategic Consulting (clients are big tech and entertainment companies),Industry,Industry,,,,,,,1,,,,1954,43,40,Wiki,ABA interview,,
Mary,Gardiner,Jones,,Commissioner,,1964,1973,,R,FTC,1,Law,1,,,,,,"Lawyer in DOJ antitrust division; previously: law firm (Donovan, Leisure, Newton & Irvine), analyst Office of Strategic Services",Government,"Political, law firm",1,,,1,,,,,"VP at Western Union Telegraph Company, Law lecturer (University of Illinois), founder/president of Consumer Interest Research Institute",Industry,Industry,,,,,,,1,,,,1920,44,40,NYT obit,Wiki,,Shifted political affiliation over life from Republican to Democrat
J.,Paul,McGrath,,AAG antitrust,,1983,1985,Reagan,NA,DOJ,NA,LLB,1,1,,,,,"AAG of Civil Division; previously: law firm partner (Dewey, Ballantine, Bushby & Wood)",Government,"Political, law firm",1,,,1,,,,,"General counsel at various corporations (AlliedSignal Engineered Materials, FMC Corporation, etc.)",Industry,Industry,,,,,,,1,,,,1940,43,40,NYT,NJ Star-Ledger obit,,
Anne,,Bingaman,,AAG antitrust,,1993,1996,Clinton,NA,DOJ,NA,JD,1,,1,,,,Private lawyer; previously: professor (U of New Mexico Law),Private practice,Private practice,,,,,1,,,,"Lawyer at telecom company (unknown), founder/CEO of telecom company",Industry,Industry,,,,,,,1,,,,1943,50,50,NYT,Stanford Law,,Lots of media rhetoric about AAG reversing Reagan trends (https://www.nytimes.com/1993/07/25/business/profile-anne-k-bingaman-rousing-antitrust-law-from-its-12-year-nap.html); would be interesting to see if it made a difference; Senator's wife
Joel,,Klein,,AAG antitrust,,1996,2000,Clinton,NA,DOJ,NA,JD,1,,1,,,,Principal Deputy AAG of antitrust; previously: WH Counsel's office under President Clinton ,Government,Political,1,,,,,,,,"Lawyer for international media group (Bertelsmann), NYC School Chancellor",Industry,"Industry, electoral",,,1,,,,1,,,,1946,50,50,Wiki,,,
Donald,I.,Baker,,AAG antitrust,,1976,1977,Ford,NA,DOJ,NA,Law,1,,,,,,"Professor (Cornell Law); previously: deputy AAG of antitrust, staff lawyer in antitrust at DOJ",Academia,"Academia, civil service",,1,,,,,1,,Law firm,Law firm,Law firm,,,,1,,,,,,Unknown,1934,42,40,NYT,American Antitrust Institute (see full remarks),,
Terry,,Calvani,,Acting chair/commissioner,,1983,1990,,R,FTC,4,JD,1,,1,,,,Professor (Vanderbilt Law); previously: law firm (Pillsbury),Academia,"Academia, law firm",,,,1,,,1,,"Law firms (Pillsbury, Freshfields Bruckhaus Deringer), on Ireland's FTC equivalent",Law firm,Law firm,,,,1,,,,,,"Pillsbury, Freshfields Bruckhaus Deringer",1947,36,40,Wiki,,,
Robert,,Pitofsky,,Chair,,1995,2001,,D,FTC,1,LLB,1,1,,,,,"Professor (Georgetown); previously: dean/professor (Georgetown Law), law firm (Arnold & Porter), FTC commissioner, director of Bureau of Consumer Protection, lecturer (NYU Law), law firm (Dewey, Ballantine, Bushby, Palmer & Wood), civil appellate division of DOJ",Academia,"Academia, law firm",,,,1,,,1,,"Law firm (Arnold & Porter), visiting lecturer at Columbia",Law firm,Law firm,,,,1,,,,,,Arnold & Porter,1929,66,70,NYT obit,Wiki,FTCWatch,
Everette,,McIntyre,,Acting chair/commissioner,,1961,1973,,D,FTC,3,JD,1,,1,,,,"General counsel for House committee on small business; previously: staff director of House committee, ran House investigation of monopolistic procedures, chief of FTC antitrust trials division, FTC trial lawyer",Government,Civil service,,1,,,,,,,Law firm (McKean and McIntyre and others),Law firm,Law firm,,,,1,,,,,,McKean & McIntyre,1901,60,60,Wiki,NYT obit,,
Charles,,Rule,,AAG antitrust,,1986,1989,Reagan,NA,DOJ,NA,JD,1,,1,,,,Principal Deputy Assistant Attorney General of antitrust; previously: federal clerk,Government,Civil service,,1,,,,,,,"Law firms (Covington Burling, Fried Frank, Cadwalader, Paul Weiss)",Law firm,Law firm,,,,1,,,,,,"Covington Burling, Fried Frank, Paul Weiss",1956,30,30,Paul Weiss,ABA Journal,,"""antitrust rainmaker"""
Robert,A. ,Bicks,,AAG antitrust,,1959,1961,Eisenhower,NA,DOJ,NA,Law,1,,,,,,Legal assistant to AAG of antitrust; previously unclear,Government,Civil service,,1,,,,,,,Law firm (Whitman Breed Abbott & Morgan),Law firm,Law firm,,,,1,,,,,,Whitman Breed Abbott & Morgan,1927,32,30,NYT,,,"""widely regarded as the division's principal policy maker"" NYT"
