usCite,term,chief,caseName,majOpinWriter,majVotes,minVotes,vote_HHBurton,vote_RHJackson,vote_WODouglas,vote_FFrankfurter,vote_SFReed,vote_HLBlack,vote_WBRutledge,vote_FMurphy,vote_FMVinson,vote_TCClark,vote_SMinton,vote_EWarren,vote_JHarlan2,vote_WJBrennan,vote_CEWhittaker,vote_PStewart,vote_BRWhite,vote_AJGoldberg,vote_AFortas,vote_TMarshall,vote_WEBurger,vote_HABlackmun,vote_LFPowell,vote_WHRehnquist,vote_JPStevens,vote_SDOConnor,vote_AScalia,vote_AMKennedy,vote_DHSouter,vote_CThomas,vote_RBGinsburg,vote_SGBreyer,vote_JGRoberts,vote_SAAlito,vote_SSotomayor,vote_EKagan,vote_NMGorsuch,vote_BMKavanaugh,vote_ACBarrett,dateDecision,Filed Date,Year,BG_include,Westlaw_search,Include?,decisionFavored_BG,sgFavoredOrRep,party1,party2,partyDecisionFavored,partySGFavored,lawEconCitation,Notes
459 U.S. 519,1982,Burger,"ASSOCIATED GENERAL CONTRACTORS OF CALIFORNIA, INC. v. CALIFORNIA STATE COUNCIL OF CARPENTERS et al.",103,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/02/22 00:00:00,1983,Yes,Yes,Yes,D,D,Professional association,Union,p1,p1,Yes,P1 is the winner (original defendant)
460 U.S. 73,1982,Burger,CONNECTICUT v. JOHNSON,100,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,5,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/02/23 00:00:00,1983,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
460 U.S. 150,1982,Burger,"JEFFERSON COUNTY PHARMACEUTICAL ASSOCIATION, INC. v. ABBOTT LABORATORIES et al.",101,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/02/23 00:00:00,1983,Yes,Yes,Yes,P,None,Professional association,Company,p1,None,No,NA
460 U.S. 204,1982,Burger,"WHITE, MAYOR OF BOSTON, et al. v. MASSACHUSETTS COUNCIL OF CONSTRUCTION EMPLOYERS, INC., et al.",102,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/02/28 00:00:00,1983,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
460 U.S. 325,1982,Burger,BRISCOE et al. v. LAHUE et al.,103,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/03/07 00:00:00,1983,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
460 U.S. 428,1982,Burger,"FALLS CITY INDUSTRIES, INC. v. VANCO BEVERAGE, INC.",100,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/03/22 00:00:00,1983,Yes,Yes,Yes,D,D,Company,Company,p1,p1,Yes,P1 is the winner (original defendant)
460 U.S. 462,1982,Burger,DISTRICT OF COLUMBIA COURT OF APPEALS et al. v. FELDMAN et al.,92,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/03/23 00:00:00,1983,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
460 U.S. 557,1982,Burger,"ILLINOIS v. ABBOTT & ASSOCIATES, INC., et al.",103,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/03/29 00:00:00,1983,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
462 U.S. 122,1982,Burger,BANKAMERICA CORP. et al. v. UNITED STATES,99,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,2,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/06/08 00:00:00,1983,Yes,Yes,Yes,D,"NA",Company,Government,p1,p2,Yes,P1 is the winner (original defendant)
463 U.S. 418,1982,Burger,"UNITED STATES v. SELLS ENGINEERING, INC., et al.",92,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/06/30 00:00:00,1983,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
463 U.S. 582,1982,Burger,GUARDIANS ASSOCIATION et al. v. CIVIL SERVICE COMMISSION OF THE CITY OF NEW YORK et al.,95,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,NA,NA,2,4,2,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/07/01 00:00:00,1983,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
463 U.S. 1073,1982,Burger,ARIZONA GOVERNING COMMITTEE FOR TAX DEFERRED ANNUITY AND DEFERRED COMPENSATION PLANS et al. v. NORRIS,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,2,2,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/07/06 00:00:00,1983,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
465 U.S. 638,1983,Burger,"SOLEM, WARDEN, SOUTH DAKOTA STATE PENITENTIARY v. STUMES",95,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,1,1,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984/02/29 00:00:00,1984,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
465 U.S. 752,1983,Burger,MONSANTO CO. v. SPRAY-RITE SERVICE CORP.,101,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984/03/20 00:00:00,1984,Yes,Yes,Yes,P,D,Bigger company,Smaller company,p2,p1,No,P2 is the winner (original plaintiff)
466 U.S. 2,1983,Burger,JEFFERSON PARISH HOSPITAL DISTRICT NO. 2 et al. v. HYDE,103,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,3,4,1,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984/03/27 00:00:00,1984,Yes,Yes,Yes,D,P,Company,Individual,p1,p2,Yes,P1 is the winner (original defendant)
466 U.S. 558,1983,Burger,HOOVER et al. v. RONWIN et al.,101,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984/05/14 00:00:00,1984,Yes,Yes,Yes,D,P,State-sanctioned professional organization,Individual,p1,p2,Yes,P1 is the winner (original defendant)
467 U.S. 691,1983,Burger,"CAPITAL CITIES CABLE, INC., et al. v. CRISP, DIRECTOR, OKLAHOMA ALCOHOLIC BEVERAGE CONTROL BOARD",92,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984/06/18 00:00:00,1984,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
467 U.S. 752,1983,Burger,COPPERWELD CORP. et al. v. INDEPENDENCE TUBE CORP.,99,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984/06/19 00:00:00,1984,Yes,Yes,Yes,D,D,Bigger company,Smaller company,p1,p2,Yes,P1 is the winner (original defendant)
468 U.S. 85,1983,Burger,NATIONAL COLLEGIATE ATHLETIC ASSOCIATION v. BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA et al.,103,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984/06/27 00:00:00,1984,Yes,Yes,Yes,P,P,Company,Universities,p2,p2,Yes,P2 is the winner (original plaintiff)
469 U.S. 528,1984,Burger,GARCIA v. SAN ANTONIO METROPOLITAN TRANSIT AUTHORITY et al.,100,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985/02/19 00:00:00,1985,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
470 U.S. 373,1984,Burger,MARRESE et al. v. AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,104,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,4,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985/03/04 00:00:00,1985,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
471 U.S. 34,1984,Burger,TOWN OF HALLIE et al. v. CITY OF EAU CLAIRE,101,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985/03/27 00:00:00,1985,Yes,Yes,Yes,D,D,City government,City government,p2,p2,Yes,NA
471 U.S. 48,1984,Burger,"SOUTHERN MOTOR CARRIERS RATE CONFERENCE, INC., et al. v. UNITED STATES",101,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985/03/27 00:00:00,1985,Yes,Yes,Yes,D,"NA",Company,Government,p1,p2,Yes,P1 is the winner (original defendant)
472 U.S. 284,1984,Burger,"NORTHWEST WHOLESALE STATIONERS, INC. v. PACIFIC STATIONERY & PRINTING CO.",92,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985/06/11 00:00:00,1985,Yes,Yes,Yes,D,D,Bigger company,Smaller company,p1,p1,No,P1 is the winner (original defendant)
472 U.S. 299,1984,Burger,"BATEMAN EICHLER, HILL RICHARDS, INC. v. BERNER et al.",92,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985/06/11 00:00:00,1985,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
472 U.S. 585,1984,Burger,ASPEN SKIING CO. v. ASPEN HIGHLANDS SKIING CORP.,103,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985/06/19 00:00:00,1985,Yes,Yes,Yes,P,None,Bigger company,Smaller company,p2,None,Yes,P2 is the winner (original plaintiff)
473 U.S. 134,1984,Burger,MASSACHUSETTS MUTUAL LIFE INSURANCE CO. et al. v. RUSSELL,103,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,1,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985/06/27 00:00:00,1985,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
473 U.S. 479,1984,Burger,"SEDIMA, S.P.R.L. v. IMREX CO., INC., et al.",95,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985/07/01 00:00:00,1985,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
473 U.S. 479,1984,Burger,"SEDIMA, S.P.R.L. v. IMREX CO., INC., et al.",95,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985/07/01 00:00:00,1985,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
473 U.S. 614,1984,Burger,"MITSUBISHI MOTORS CORP. v. SOLER CHRYSLER-PLYMOUTH, INC.",100,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,1,1,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985/07/02 00:00:00,1985,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
475 U.S. 260,1985,Burger,"FISHER et al. v. CITY OF BERKELEY, CALIFORNIA, et al.",98,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,1,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986/02/26 00:00:00,1986,Yes,Yes,Yes,D,None,Individuals,City government,p2,None,No,NA
475 U.S. 574,1985,Burger,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD, et al. v. ZENITH RADIO CORP. et al.",101,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,1,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986/03/26 00:00:00,1986,Yes,Yes,Yes,D,D,Company,Company,p1,p1,Yes,P1 is the winner (original defendant)
476 U.S. 409,1985,Burger,"SQUARE D CO. et al. v. NIAGARA FRONTIER TARIFF BUREAU, INC., et al.",103,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986/05/27 00:00:00,1986,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
476 U.S. 447,1985,Burger,FEDERAL TRADE COMMISSION v. INDIANA FEDERATION OF DENTISTS,95,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986/06/02 00:00:00,1986,Yes,Yes,Yes,P,"NA",Federal government,Professional associations,p1,p1,Yes,NA
476 U.S. 488,1985,Burger,"CITY OF LOS ANGELES et al. v. PREFERRED COMMUNICATIONS, INC.",102,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,1,3,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986/06/02 00:00:00,1986,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
477 U.S. 242,1985,Burger,"ANDERSON et al. v. LIBERTY LOBBY, INC., et al.",95,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986/06/25 00:00:00,1986,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
479 U.S. 104,1986,Rehnquist,"CARGILL, INC., et al. v. MONFORT OF COLORADO, INC.",92,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986/12/09 00:00:00,1986,Yes,Yes,Yes,D,D,Bigger company,Smaller company,p1,p1,Yes,P1 is the winner (original defendant)
479 U.S. 335,1986,Rehnquist,"324 LIQUOR CORP., DBA YORKSHIRE WINE & SPIRITS v. DUFFY et al.",101,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987/01/13 00:00:00,1987,Yes,Yes,Yes,P,P,Company,State government,p1,p1,Yes,NA
481 U.S. 102,1986,Rehnquist,"UNITED STATES v. JOHN DOE, INC. I, et al.",103,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987/04/21 00:00:00,1987,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
482 U.S. 220,1986,Rehnquist,SHEARSON/AMERICAN EXPRESS INC. et al. v. MCMAHON et al.,104,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987/06/08 00:00:00,1987,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
483 U.S. 350,1986,Rehnquist,MCNALLY v. UNITED STATES,95,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987/06/24 00:00:00,1987,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
485 U.S. 176,1987,Rehnquist,"K MART CORPORATION v. CARTIER, INC., et al.",92,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988/03/07 00:00:00,1988,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
485 U.S. 717,1987,Rehnquist,BUSINESS ELECTRONICS CORP. v. SHARP ELECTRONICS CORP.,105,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,1,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988/05/02 00:00:00,1988,Yes,Yes,Yes,D,None,Company,Company,p2,None,Yes,NA
486 U.S. 94,1987,Rehnquist,PATRICK v. BURGET et al.,98,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988/05/16 00:00:00,1988,Yes,Yes,Yes,P,P,Individual,Company,p1,p1,No,NA
486 U.S. 281,1987,Rehnquist,"K MART CORP. v. CARTIER, INC., et al.",106,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,NA,2,NA,2,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988/05/31 00:00:00,1988,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
486 U.S. 492,1987,Rehnquist,"ALLIED TUBE & CONDUIT CORP. v. INDIAN HEAD, INC.",92,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,1,NA,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988/06/13 00:00:00,1988,Yes,Yes,Yes,P,P,Company,Company,p2,p2,Yes,P2 is the winner (original plaintiff)
486 U.S. 800,1987,Rehnquist,CHRISTIANSON et al. v. COLT INDUSTRIES OPERATING CORP.,92,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,3,NA,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988/06/17 00:00:00,1988,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
487 U.S. 931,1987,Rehnquist,UNITED STATES v. KOZMINSKI et al.,104,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,4,NA,4,NA,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988/06/29 00:00:00,1988,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
488 U.S. 179,1988,Rehnquist,NATIONAL COLLEGIATE ATHLETIC ASSOCIATION v. JERRY TARKANIAN,103,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,2,NA,1,NA,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988/12/12 00:00:00,1988,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
488 U.S. 563,1988,Rehnquist,UNITED STATES v. BROCE et al.,106,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA,2,NA,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989/01/23 00:00:00,1989,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
489 U.S. 794,1988,Rehnquist,MIDLAND ASPHALT CORP. et al. v. UNITED STATES,105,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989/03/28 00:00:00,1989,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
490 U.S. 93,1988,Rehnquist,CALIFORNIA et al. v. ARC AMERICA CORP. et al.,95,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989/04/18 00:00:00,1989,Yes,Yes,Yes,P,P,State government,Company,p1,p1,No,NA
492 U.S. 257,1988,Rehnquist,"BROWNING-FERRIS INDUSTRIES OF VERMONT, INC., et al. v. KELCO DISPOSAL, INC., et al.",100,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,3,NA,1,NA,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989/06/26 00:00:00,1989,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
493 U.S. 411,1989,Rehnquist,FEDERAL TRADE COMMISSION v. SUPERIOR COURT TRIAL LAWYERS ASSOCIATION et al.,103,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA,2,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990/01/22 00:00:00,1990,Yes,Yes,Yes,P,"NA",Federal government,State-sanctioned professional association,p1,p2,Yes,NA
493 U.S. 455,1989,Rehnquist,TAFFLIN et al. v. LEVITT et al.,104,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,1,NA,1,NA,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990/01/22 00:00:00,1990,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
494 U.S. 259,1989,Rehnquist,UNITED STATES v. RENE MARTIN VERDUGO-URQUIDEZ,102,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA,2,NA,1,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990/02/28 00:00:00,1990,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
494 U.S. 827,1989,Rehnquist,KAISER ALUMINUM & CHEMICAL CORP. et al. v. BONJORNO et al.,104,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,2,NA,2,NA,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990/04/17 00:00:00,1990,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
495 U.S. 271,1989,Rehnquist,CALIFORNIA v. AMERICAN STORES CO. et al.,103,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990/04/30 00:00:00,1990,Yes,Yes,Yes,P,None,State government,Company,p1,None,Yes,NA
495 U.S. 328,1989,Rehnquist,ATLANTIC RICHFIELD CO. v. USA PETROLEUM CO.,92,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,1,NA,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990/05/14 00:00:00,1990,Yes,Yes,Yes,D,D,Bigger company,Smaller company,p1,p1,Yes,P1 is the winner (original defendant)
