usCite,term,chief,caseName,majOpinWriter,majVotes,minVotes,vote_HHBurton,vote_RHJackson,vote_WODouglas,vote_FFrankfurter,vote_SFReed,vote_HLBlack,vote_WBRutledge,vote_FMurphy,vote_FMVinson,vote_TCClark,vote_SMinton,vote_EWarren,vote_JHarlan2,vote_WJBrennan,vote_CEWhittaker,vote_PStewart,vote_BRWhite,vote_AJGoldberg,vote_AFortas,vote_TMarshall,vote_WEBurger,vote_HABlackmun,vote_LFPowell,vote_WHRehnquist,vote_JPStevens,vote_SDOConnor,vote_AScalia,vote_AMKennedy,vote_DHSouter,vote_CThomas,vote_RBGinsburg,vote_SGBreyer,vote_JGRoberts,vote_SAAlito,vote_SSotomayor,vote_EKagan,vote_NMGorsuch,vote_BMKavanaugh,vote_ACBarrett,dateDecision,Filed Date,Year,BG_include,Westlaw_search,Include?,decisionFavored_BG,sgFavoredOrRep,party1,party2,partyDecisionFavored,partySGFavored,lawEconCitation,Notes
422 U.S. 271,1974,Burger,UNITED STATES v. AMERICAN BUILDING MAINTENANCE INDUSTRIES,94,6,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,4,NA,NA,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975/06/24 00:00:00,1975,Yes,Yes,Yes,D,"NA",Federal government,Company,p2,p1,No,NA
422 U.S. 659,1974,Burger,"GORDON v. NEW YORK STOCK EXCHANGE, INC., et al.",100,9,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975/06/26 00:00:00,1975,Yes,Yes,Yes,D,P,Individuals,Company,p2,p1,No,NA
422 U.S. 694,1974,Burger,"UNITED STATES v. NATIONAL ASSOCIATION OF SECURITIES DEALERS, INC., et al.",101,5,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975/06/26 00:00:00,1975,Yes,Yes,Yes,D,"NA",Federal government,Company,p2,p1,No,NA
425 U.S. 564,1975,Burger,UNITED STATES v. MANDUJANO,99,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,1,NA,NA,4,5,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976/05/19 00:00:00,1976,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
425 U.S. 738,1975,Burger,HOSPITAL BUILDING CO. v. TRUSTEES OF REX HOSPITAL et al.,98,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976/05/24 00:00:00,1976,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
426 U.S. 148,1975,Burger,RADZANOWER v. TOUCHE ROSS & CO. et al.,94,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976/06/07 00:00:00,1976,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
428 U.S. 579,1975,Burger,"CANTOR, DBA SELDEN DRUGS CO. v. DETROIT EDISON CO.",103,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,1,3,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976/07/06 00:00:00,1976,Yes,Yes,Yes,P,P,Individuals,Company,p1,p1,Yes,NA
429 U.S. 17,1976,Burger,STANDARD OIL CO. OF CALIFORNIA v. UNITED STATES,NA,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976/10/18 00:00:00,1976,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
429 U.S. 477,1976,Burger,"BRUNSWICK CORP. v. PUEBLO BOWL-O-MAT, INC., et al.",98,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977/01/25 00:00:00,1977,Yes,Yes,Yes,D,None,Bigger company,Smaller company,p1,None,Yes,p1 had 222 centers vs p2 with 3
429 U.S. 610,1976,Burger,"UNITED STATES STEEL CORP. et al. v. FORTNER ENTERPRISES, INC.",103,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,3,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977/02/22 00:00:00,1977,Yes,Yes,Yes,D,None,Bigger company,Smaller company,p1,None,Yes,NA
431 U.S. 720,1976,Burger,ILLINOIS BRICK CO. et al. v. ILLINOIS et al.,95,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977/06/09 00:00:00,1977,Yes,Yes,Yes,D,P,Company,State government,p1,p2,Yes,NA
